full_name,host_type,language,stars,description
GdeiAssistant/GdeiAssistant,GitHub,Java,58,广东第二师范学院校园助手系统是基于网络爬虫模拟登录技术和Spring、SpringMVC、Mybatis框架开发的校园应用，已正式投入广东第二师范学院生产环境供在校师生使用。应用采用前后端分离的架构设计，前端界面使用第三方WeUI样式库，后端利用JSON和Restful API为前端和移动端提供数据接口。目前应用支持Android、UWP、微信小程序等多个客户端，并利用OAuth2.0技术，接入微信公众号、易班网等多个平台。
ogrisel/paper2ebook,GitHub,Java,52,Utility to re-structure research papers published in US Letter or A4 format PDF files to typically remove the 2 columns layout.
rostrovsky/pdf-table,GitHub,Java,43,Java utility for parsing PDF tabular data using Apache PDFBox and OpenCV
renatoathaydes/osgi-run,GitHub,Groovy,41,Osgi-Run - A Gradle plugin to make the development of modular applications using OSGi completely painless
spapas/pdf-sign-check,GitHub,Java,41,A java / spring boot application to help you check for signed pdf documents
ZhuningS/Awesome-Filter,GitHub,JavaScript,37,"Awesome-Filter：PIF 公益项目. Personal information filtering 适用于个人/家庭的信息管理库(侧重信息过滤与内容筛选，含RSS).全方位精确过滤,反垃圾与不良信息工具/技术/经验. 科学高效使用网络，防治信息爆炸信息焦虑等信息病，保护精神卫生与身心健康。独立自主，做信息的主人。欢迎建议,欢迎共同完善."
vinsguru/pdf-util,GitHub,Java,33,PDF Compare Utility
logicaldoc/document-management-software,GitHub,Java,33,LogicalDOC Community open source document management system https://www.logicaldoc.com
m-abboud/FontVerter,GitHub,Java,33,Java font converter library.
zaro/pdf-metadata-editor,GitHub,Java,31,"PDF Metadata Editor is a simple tool you can use to edit the metadata (Author, Keywors, etc.) of a PDF document."
bluenimble/serverless,GitHub,HTML,30,BlueNimble is a Hybrid Serverless Platform focusing on developer productivity and application portability.  Create and run scalable APIs and applications without coding or by coding less.  Focus on application business logic without any knowledge of the underlying microservices architecture.
haplo-org/haplo,GitHub,Ruby,28,The Haplo Platform
rototor/pdfbox-graphics2d,GitHub,Java,24,Graphics2D Bridge for pdfbox
eclipse/antenna,GitHub,Java,22,SW360 Antenna project
scoophealth/oscar,GitHub,Java,20,OSCAR EHR Mirror
phax/ph-pdf-layout,GitHub,Java,20,"Java library for creating fluid page layouts with Apache PDFBox. Supporting multi-page tables, different page layouts etc."
kermitt2/grobid-quantities,GitHub,JavaScript,18,GROBID extension for identifying and normalizing physical quantities.
EasyinnovaSL/DPFManager,GitHub,Java,16,DPF Manager: Digital Preservation Formats Manager (Image files)
moravianlibrary/MEditor,GitHub,Java,16,Digitization information system build on top of Fedora repository
mbasa/GeoFuse,GitHub,CSS,14,Thematic Engine for Dynamic CSV or Tab Delimited Data
Esri/geoportal-server-harvester,GitHub,Java,13,Next generation harvester for Geoportal Server.
palladian/palladian,GitHub,Java,13,"Palladian is a Java-based toolkit with functionality for text processing, classification, information extraction, and data retrieval from the Web."
ranorex/Packages,GitHub,C#,13,Contains a collection of Ranorex automation packages.
ClouDesire/janine,GitHub,Java,13,Your sexy generator and archiver of PDF invoices
g0vhk-io/legco-hansard-pdf-extractor,GitHub,Kotlin,12,Legco Hansard PDF Extractor
code4romania/expert-consultation-api,GitHub,Java,12,Digital tool for legal consultation on law proposals
LexPredict/tika-server,GitHub,Java,7,Apache Tika Server with Tesseract 4 Docker Setup 
exoplatform/wiki,GitHub,Java,6,eXo Wiki
montsuqi/monsiaj,GitHub,Java,6,Java版日レセクライアント
montsuqi/monsiaj,GitHub,Java,6,Java版日レセクライアント
radkovo/CSSBoxPdf,GitHub,Java,4,PDF renderer for the CSSBox rendering engine.
AdvancedPhotonSource/ComponentDB,GitHub,Java,4,
openlimit-signcubes/dss,GitHub,Java,3,DSS : Digital Signature Service - with additional features (TLS support for TSPs)
yrodiere/hibernate-search,GitHub,Java,1,Hibernate Search: full-text search for domain model
tunguski/matsuo-core,GitHub,Java,1,Base code for Matsuo Java applications
dbs/DSpace,GitHub,Java,0,(Official) The DSpace digital asset management system that powers your Institutional Repository
subhh/kitodo-production,GitHub,Java,0,Kitodo.Production
rajendarreddyj/development-java,GitHub,Java,0,Java/Spring/Hibernate Projects
dmgerman/camel,GitHub,Java,0,
rlon008/testamation,GitHub,Java,0,Functional/integration test framework for web projects
joe9111/jabref,GitHub,Java,0,Graphical Java application for managing BibTeX and biblatex (.bib) databases
bcoddens/DSpace,GitHub,Java,0,(Official) The DSpace digital asset management system that powers your Institutional Repository
thoqbk/traprange,GitHub,HTML,114,A Method to Extract Table Content in PDF Files (Java)
craigburke/document-builder,GitHub,Groovy,81,Groovy Document Builder
hwding/pdf-unstamper,GitHub,Java,73,"Remove text stamps of any font, any encoding and any language with pdf-unstamper now!"
RainyGao-GitHub/DocSys,GitHub,JavaScript,54,MxsDoc is a web based document management system
sgnlplabeling/nlp_labeling,GitHub,JavaScript,51,
Mararsh/MyBox,GitHub,Java,45,"Easy tools of document, image, file, network, location, color, and media."
uds-datalab/PDBF,GitHub,JavaScript,42,PDBF - A Toolkit for Creating Janiform Data Documents
GlenKPeterson/PdfLayoutManager,GitHub,Java,41,"Adds line-breaking, page-breaking, tables, and styles to PDFBox"
hmcts/document-management-store-app,GitHub,Java,18,Spring Boot Application to store Documents 
SW-Fantastic/Reader,GitHub,Java,17,a book reader 中文阅读器
tombensve/MarkdownDoc,GitHub,Groovy,16,A Java tool/maven plugin/library to generate HMTL and PDF from markdown text intended for project documentation. 
Paperight/website,GitHub,Java,14,Paperight was a project to turn copy-shops into print-on-demand bookstores. This is the code for its website: a library for buying and selling printing licenses between publishers and copy shops.
oskutka/rhlp,GitHub,Java,13,
adobe/toughday2,GitHub,Java,12,"Toughday2 is a multithreaded performance testing framework that can be used to benchmark remote applications. It was designed with developers in mind, allowing them to use the full power of the Java language in order to create complex tests or write extensions. It stays true to the philosophy ""Do one thing and do it well""."
klemens/openolat,GitHub,Java,10,"Git mirror of the official openolat hg repository (automatically updated). Contains extensions xman, autolat and a simple shibboleth authenticator in corrensponding branches. See WIKI for details:"
njuro/jard,GitHub,Java,10,Imageboard written in Java with Spring Boot
icankeep/Document-Storm,GitHub,Java,9,实现文档转换的一个网站，目前支持PDF转Word，对Word文档进行翻译等操作，网站还可以获取网易云热门评论等信息
kevinychen/snap2,GitHub,Java,8,Advanced tooling for puzzle hunts
Miazzy/jepaas,GitHub,JavaScript,8,
xsocket/job,GitHub,Java,7,简历解析工具
sahasourav123/SeleniumUtilities,GitHub,Java,7,Supporting utilities to develop web application automation with Selenium.
jonathanlermitage/tikione-c2e,GitHub,Kotlin,6,"Télécharge vos magazines CanardPC (abo numérique) pour une lecture hors-ligne sur PC, tablette et smartphone. :fr:"
exoplatform/xcmis,GitHub,Java,6,An extensible implementation of OASIS's Content Management Interoperability Services (CMIS) specification.
Accenture/atom,GitHub,Java,6,
dougnoel/sentinel,GitHub,Java,6,"A Selenium framework that implements the Page Object Model (POM) using Object Oriented Programming (OOP) concepts. It abstracts out most of the complexity of Selenium to allow users to focus on automating tests and not spend time dealing with the technical details of implementing an automation framework, so that automated tests can be written in a non-technical way in the same amount of time as manual tests can be executed."
xware-gmbh/SeicentoBilling,GitHub,Java,5,"Einfache Webapplikation für Leistungsrapportierung, Spesen und Rechnungsstellung"
bompi88/pdfmerger,GitHub,Java,5,Node module that uses the Pdfbox library to merge PDF files into a single PDF file.
hydra/pnpconvert,GitHub,Groovy,5,SMT Pick and Place conversion utility
Differ-GSOC/differ,GitHub,Java,5,Differ
documaster/noark-extraction-validator,GitHub,Java,5,
liumapp/jks-core,GitHub,Java,5,Abstract encapsulation of JKS
Contargo/pdf-builder,GitHub,Java,4,Library tool for PDF document generation and manipulation.
document-scanner/document-scanner,GitHub,Java,4,A scanner GUI which allows filling data from OCR
UFMT/periscope,GitHub,Java,4,The main goal is provide to the brazilian community a tool that assists the utilization of the information contained in the Industrial Property System.
PM-Master/Harmonia-1.5,GitHub,Java,4,Policy Machine - First release of an ANSI/INCITS Next Generation Access Control (NGAC) standard reference Implementation (using Active Directory as Policy and Attribute store) 
imixs/imixs-archive,GitHub,Java,4,Imixs-Archive Service
geetools/geeCommerce-Java-Shop-Software-and-PIM,GitHub,Java,4,geeCommerce is an enterprise quality Java shop software and product information management tool (PIM). geeCommerce also includes a media asset management system and a drag&drop content management system (CMS).
HandOfGod94/jacoco-cov-badge-maven-plugin,GitHub,Java,4,"Generate High Quality SVG, PNG and JPG Coverage badges locally from jacoco report as part of build"
yanirta/ImageTester,GitHub,Java,3,Applitools Visual Validation Images Tester
usman-h/Habanero,GitHub,Java,3,"Habanero is a revolutionary test automation framework that allows you to cover all aspects of testing all under a single test framework. Enhancing readability, maintenance and reusability between team located anywhere in the world."
